타임스탬프,1. 귀하의 성별은 무엇입니까?,2. 반려동물을 키워본 경험이 있으신가요?,"2-1. 2번 질문에 '예'에 답한 경우, 세대 구성원의 수는 어떻게 되나요?",3. 반려동물을 키우면서 밥을 줄 때에 불편을 겪으신 적이 있나요?,"3-1. 3번 질문에 '예'에 답한 경우, 어떤 불편을 겪으셨나요?",4. 반려동물용 자동급식기를 사용해보신 적 있나요?,"4-1. 4번 질문에 '예'에 답한 경우, 사용하시면서 불편을 겪은 적이 있나요?","4-2. 4-1번 질문에 '예'에 답한 경우, 어떤 불편을 겪으셨나요?"
11-5-2022 23:27:59,남성,예,4인,아니오,,아니오,아니오,
11-5-2022 23:30:31,여성,예,2인,아니오,,아니오,,
11-5-2022 23:33:27,여성,예,5인 이상,예,비만/저체중 등 체중 조절을 해야 하는 반려동물의 식단을 관리하는 것에 어려움을 느낌,아니오,,
11-5-2022 23:51:39,여성,예,4인,예,반려동물이 시간에 맞추어 밥을 먹지 않음,아니오,,
11-5-2022 23:54:03,여성,예,4인,예,"반려동물에게 이미 밥을 줬는데 다른 가족 구성원, 혹은 본인이 중복해서 밥을 줌, 비만/저체중 등 체중 조절을 해야 하는 반려동물의 식단을 관리하는 것에 어려움을 느낌",예,예,"사료가 산화되는 등의 위생 문제로 사용하기 꺼려짐, 일반 식기에 비해 높낮이 설정이 자유롭지 않음, 여러 마리의 반려동물을 기르는 경우, 다른 반려동물이 사료를 뺏어먹는 등의 문제가 있음"
11-6-2022 0:00:16,여성,예,3인,예,반려동물에게 밥을 주는 것을 잊어버림,아니오,,
11-6-2022 0:01:59,여성,예,3인,예,반려동물이 시간에 맞추어 밥을 먹지 않음,아니오,,
11-6-2022 0:09:58,여성,예,5인 이상,예,"반려동물이 시간에 맞추어 밥을 먹지 않음, 반려동물에게 이미 밥을 줬는데 다른 가족 구성원, 혹은 본인이 중복해서 밥을 줌",예,예,"설거지 하는 과정이 번거로움, 사료가 산화되는 등의 위생 문제로 사용하기 꺼려짐, 부피가 커서 이동성이 좋지 않음"
11-6-2022 0:30:21,여성,예,4인,예,"반려동물에게 이미 밥을 줬는데 다른 가족 구성원, 혹은 본인이 중복해서 밥을 줌, 비만/저체중 등 체중 조절을 해야 하는 반려동물의 식단을 관리하는 것에 어려움을 느낌",아니오,,
11-6-2022 0:43:39,여성,예,4인,예,"반려동물에게 이미 밥을 줬는데 다른 가족 구성원, 혹은 본인이 중복해서 밥을 줌",아니오,,
11-6-2022 0:48:16,여성,예,4인,예,비만/저체중 등 체중 조절을 해야 하는 반려동물의 식단을 관리하는 것에 어려움을 느낌,아니오,,
